22___,8___,11/11/2020 H 19:45,730/413_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/285__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/388_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/305__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/238_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/385__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/238_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/105__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,10/85___,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/186_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/238_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/345__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,10/365__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/211_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/125__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:45,10/125__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/210_,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/238_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,10/325__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/6___,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/238_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/325__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/-4__,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/105__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/-4__,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/225__,raqueta1/pelota
22___,8___,11/11/2020 H 19:45,730/210_,raqueta2/pelota_verde
22___,8___,11/11/2020 H 19:45,10/105__,raqueta1/pelota_roja
22___,8___,11/11/2020 H 19:45,730/-7__,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,10/365__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,10/385__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/-7__,raqueta2/pelota
22___,8___,11/11/2020 H 19:45,730/241_,raqueta2/pelota_roja
22___,8___,11/11/2020 H 19:45,10/305__,raqueta1/pelota_verde
22___,8___,11/11/2020 H 19:45,730/17__,raqueta2/pelota
